date	Joy	Sadness	Disgust	 Contempt	 Anger	 Fear	 Surprise
0:0:34.706	0.003	0.042	0.428	0.194	0.003	0.004	0.196	
0:0:34.776	0.003	0.042	0.428	0.194	0.003	0.004	0.196	
0:0:34.841	0.003	0.041	0.428	0.194	0.003	0.004	0.196	
0:0:34.905	0.003	0.038	0.427	0.194	0.003	0.004	0.196	
0:0:34.970	0.003	0.036	0.427	0.194	0.003	0.005	0.197	
0:0:35.059	0.003	0.037	0.427	0.194	0.003	0.004	0.196	
0:0:35.126	0.003	0.036	0.427	0.194	0.003	0.005	0.197	
0:0:35.193	0.003	0.035	0.427	0.194	0.003	0.005	0.197	
0:0:35.256	0.003	0.034	0.427	0.194	0.003	0.005	0.197	
0:0:35.322	0.003	0.033	0.427	0.194	0.003	0.005	0.197	
0:0:35.387	0.003	0.035	0.427	0.194	0.003	0.005	0.197	
0:0:35.455	0.003	0.034	0.427	0.194	0.003	0.005	0.197	
0:0:35.520	0.003	0.033	0.427	0.194	0.003	0.005	0.196	
0:0:35.585	0.003	0.033	0.427	0.194	0.003	0.005	0.196	
0:0:35.647	0.003	0.033	0.427	0.194	0.003	0.005	0.196	
0:0:35.710	0.003	0.033	0.427	0.194	0.003	0.005	0.196	
0:0:35.776	0.003	0.033	0.427	0.194	0.003	0.005	0.196	
0:0:35.841	0.003	0.033	0.427	0.194	0.003	0.005	0.196	
0:0:35.904	0.003	0.033	0.427	0.194	0.003	0.005	0.196	
0:0:35.970	0.003	0.033	0.427	0.194	0.003	0.005	0.196	
0:0:36.032	0.003	0.034	0.427	0.194	0.003	0.005	0.196	
0:0:36.104	0.003	0.033	0.427	0.194	0.003	0.005	0.196	
0:0:36.171	0.003	0.033	0.427	0.194	0.003	0.005	0.196	
0:0:36.234	0.003	0.033	0.427	0.194	0.003	0.005	0.196	
0:0:36.297	0.003	0.034	0.427	0.194	0.003	0.005	0.195	
0:0:36.368	0.003	0.034	0.427	0.194	0.003	0.005	0.195	
0:0:36.431	0.003	0.032	0.427	0.194	0.003	0.005	0.195	
0:0:36.495	0.003	0.032	0.427	0.194	0.003	0.005	0.195	
0:0:36.565	0.003	0.031	0.427	0.194	0.003	0.005	0.196	
0:0:36.629	0.003	0.032	0.427	0.194	0.003	0.005	0.196	
0:0:36.692	0.003	0.031	0.427	0.194	0.003	0.005	0.196	
0:0:36.757	0.003	0.030	0.427	0.194	0.003	0.005	0.196	
0:0:36.821	0.003	0.030	0.427	0.194	0.003	0.005	0.196	
